ax1,ay1,az1
-3.63155,-6.06535,-3.30097
-3.0734,-7.74219,-1.80859
-1.25523,-7.89071,-1.91159
1.26481,-8.82255,-1.43729
3.90703,-8.97825,-1.03006
5.64614,-8.75547,-0.129356
8.41771,-8.74829,0.438373
10.3317,-8.30752,0.656361
11.6061,-7.33016,0.728225
12.1571,-6.68818,1.3247
12.8086,-6.31688,0.716248
12.8134,-6.16357,0.246734
12.4086,-5.2988,0.709062
10.6455,-5.32036,0.445559
10.4371,-5.11674,-0.155706
8.50395,-4.53464,-0.12696
7.35172,-4.30707,-1.80859
6.75046,-4.37893,-1.47561
5.66531,-5.60302,-1.88524
5.35389,-5.32275,-2.37392
6.39353,-5.21496,-2.14874
6.93012,-5.75873,-2.05532
7.06187,-6.41509,-1.77026
6.79837,-5.75154,-1.97148
6.36,-5.00176,-1.62893
6.55403,-4.44601,-1.09713
8.90639,-4.25197,-1.24565
10.0323,-4.86761,-1.11869
11.448,-5.57907,-0.220384
11.3761,-6.39832,-0.172474
11.7187,-7.25111,0.862372
11.0983,-7.84759,0.962982
10.5449,-8.56384,1.08276
10.1233,-8.82015,1.2696
8.97825,-9.10521,1.06838
8.05839,-8.93513,0.0287457
7.00677,-8.60216,-0.27548
6.06535,-8.80817,-0.337762
5.11914,-9.38069,-0.4767
4.23042,-9.63222,-0.294644
3.42074,-9.88135,-0.160497
2.35236,-9.61306,-0.189243
0.641988,-8.30033,-1.40135
-2.12239,-5.81383,-2.19665
-4.64244,-3.90942,-3.11412
-6.94449,-2.78834,-3.26743
-8.02006,-1.94273,-3.74892
-7.91466,-2.18947,-4.17532
-6.68099,-2.82666,-3.94775
-5.88569,-3.78965,-3.89984
-4.90354,-4.89157,-2.93446
-3.61957,-5.51918,-0.960587
-1.60737,-7.34933,0.150915
-0.27548,-7.48347,1.34865
2.42902,-8.35064,0.785717
6.29292,-9.4837,1.18337
8.97825,-9.72564,0.641988
11.5702,-9.63461,2.56556
13.3021,-8.56384,3.32732
14.2723,-7.64637,3.00872
14.5717,-6.98522,1.85889
12.7224,-6.42228,1.41333
10.9785,-5.59344,1.03245
9.62503,-4.69753,0.457536
8.93274,-4.71191,-0.55096
9.02377,-4.75023,-1.19055
8.36501,-4.15855,-2.15593
7.96497,-3.7082,-2.92727
7.2559,-4.1849,-2.88655
6.38874,-4.29749,-3.32492
5.79706,-4.06513,-3.33211
5.69166,-5.55991,-1.26242
5.68687,-7.48347,-0.270689
5.95756,-7.79489,0.701875
6.20189,-8.82734,0.771344
5.2461,-8.41532,0.828836
6.41749,-7.33975,-0.289853
6.58278,-6.96126,-0.0143729
7.03552,-6.79358,0.55096
9.18427,-6.5157,-0.299435
9.40944,-7.07145,-0.356926
10.7317,-7.67032,0.424
11.1821,-7.80207,-0.0359322
11.769,-8.55186,0.366508
11.5199,-9.34476,0.838417
10.4515,-9.43339,-0.184452
8.6884,-9.37351,-0.244339
7.09062,-8.93993,-0.749785
5.59105,-7.96976,-1.28637
3.83037,-7.81884,-1.59539
2.52723,-8.3698,-1.44926
1.06359,-7.79968,-1.55227
-0.764158,-6.66183,-2.88655
-2.7045,-4.74305,-3.59322
-4.5562,-2.99195,-4.33342
-6.49893,-1.98106,-3.93817
-8.04402,-1.8014,-3.4974
-8.71475,-2.01939,-2.78115
-7.87394,-3.16922,-2.29247
-6.44384,-4.79335,-1.76307
-4.37175,-6.15878,-0.977355
-2.30205,-7.00677,0.182056
0.0431186,-8.39615,1.1642
3.58124,-9.40944,1.19055
7.32058,-10.2047,1.61934
10.6743,-9.70408,1.31512
13.2781,-8.73631,1.56904
14.7514,-7.81166,1.44208
15.5131,-6.20908,0.510237
14.5214,-5.14549,-0.050305
13.0889,-4.63286,-0.433582
11.6396,-3.75371,-0.644384
10.7054,-3.46147,-1.21211
9.51724,-4.16574,0.0311412
9.17708,-3.76809,-1.15223
8.48958,-3.85193,-1.25044
7.24153,-4.7694,-0.479096
5.62219,-5.92881,1.07557
5.09997,-7.35172,2.26612
4.65202,-8.65965,2.9656
4.23042,-8.04641,2.17509
4.07471,-7.02354,0.606056
4.10825,-6.95887,1.25763
5.90246,-6.25939,0.744994
7.90029,-5.46169,-0.251525
9.55796,-6.47019,0.69948
11.1342,-7.13134,0.843208
11.7283,-7.92664,0.903095
11.8145,-8.95909,1.14504
11.7378,-10.0562,2.23019
11.0887,-10.6599,2.18228
10.4419,-10.8803,1.71516
