gx1,gy1,gz1
1.82433,-2.51855,-2.04428
1.65336,-3.91191,-1.7231
1.33644,-4.62298,-1.75719
1.30768,-4.74921,-1.9761
1.34976,-4.6086,-2.1279
1.24536,-4.56492,-1.85946
0.911932,-4.41738,-1.64747
1.04882,-3.8693,-1.36677
0.868256,-3.41816,-1.11431
0.799547,-2.62348,-0.796324
0.748947,-1.57686,-0.222147
1.02485,-0.607466,0.370672
0.828309,0.843423,0.686522
0.34894,2.08659,1.36616
-0.151734,2.68526,2.18748
-0.985303,3.4384,2.25459
-1.42366,4.24321,1.70918
-1.08384,3.63068,1.36723
-1.57865,3.81391,0.754699
-1.56747,3.78089,0.803701
-1.18397,3.16729,1.62608
-1.5158,3.14652,1.99946
-1.56001,3.03946,2.58482
-1.43804,2.67568,3.39549
-1.58931,2.15263,3.72306
-1.6937,1.51454,4.00109
-1.62126,0.496679,3.60534
-1.90835,-0.395479,3.10041
-2.05003,-1.2935,2.87351
-1.9973,-1.97953,2.31265
-2.34937,-2.54305,1.34166
-2.84579,-3.20298,0.581061
-2.87348,-3.25358,0.336051
-2.32966,-2.87914,0.459621
-1.28677,-2.12866,0.760026
-0.0398811,-1.44796,0.860693
0.610462,-0.727309,0.519276
1.11699,0.0727044,-0.297248
1.71621,0.94409,-1.46158
2.17054,1.56887,-2.35853
2.18226,2.36568,-2.9897
2.35909,3.03254,-3.50263
2.34471,3.37662,-4.09332
2.23925,3.32016,-4.36656
2.07041,2.68952,-3.99371
1.6965,1.92307,-3.40302
1.72366,0.642088,-2.84802
1.55695,-0.696416,-2.79369
1.43338,-1.80056,-2.54549
1.47599,-3.05118,-2.40913
1.63365,-3.75372,-2.01818
1.60968,-4.10845,-1.648
1.70023,-4.34122,-1.38169
1.93192,-4.51485,-1.2448
1.63152,-3.98009,-1.05998
1.36733,-3.62909,-0.416025
1.42326,-3.25092,0.0297874
1.22885,-2.71456,0.219937
0.887963,-1.40428,0.244438
0.32657,-0.164317,0.342442
-0.630037,1.40695,0.311017
-0.818589,2.42321,0.853236
-1.02578,3.59074,0.978937
-1.59623,4.65494,0.68599
-1.04229,4.79555,0.974676
-0.800479,4.53935,1.36882
-1.20848,4.51113,2.19174
-1.13018,4.47224,3.1068
-0.968791,4.39075,4.22586
-1.00448,3.52203,3.94996
-1.364,2.35397,3.29695
-1.57706,1.33398,2.99868
-1.94297,0.181894,3.14195
-1.95043,-0.498277,3.35927
-2.15177,-0.920121,3.42851
-2.30889,-1.24769,3.71294
-2.39784,-1.74197,3.64156
-2.36748,-1.66687,3.03543
-2.20343,-1.5694,1.74752
-1.4407,-1.34356,-0.298846
-0.146407,-0.609064,-1.81791
0.930041,0.140349,-2.57372
1.78598,1.24609,-2.84642
2.43792,2.10576,-3.26294
2.61848,2.18299,-3.99904
2.51196,1.90176,-5.28588
2.09491,-0.277767,-6.18017
2.54338,-1.73398,-6.37298
1.99903,-2.62774,-6.71972
1.47226,-2.92015,-6.09761
1.32366,-2.72148,-4.36709
1.46161,-2.30496,-2.4347
1.57506,-2.13825,-1.3231
1.70182,-2.00083,-1.0392
1.68798,-2.17873,-1.10845
1.42645,-1.91721,-1.28954
1.47173,-1.065,-1.1729
1.87866,-0.432231,-0.616827
1.53458,-0.246875,-1.1436
1.04722,-0.225569,-1.8307
1.04829,0.0130496,-1.61445
0.786231,0.591488,-1.0685
0.443216,0.958471,-0.553444
0.290883,0.633033,-0.500181
0.0815589,0.487092,-0.834141
0.144409,0.295877,-0.812303
0.059721,0.404001,-0.593924
0.0943421,0.897218,-0.422417
0.204064,0.750745,-0.0410526
0.147073,0.274572,0.119802
0.412856,0.14461,-0.0543684
0.51086,0.241549,-0.1316
0.240283,0.239951,0.0255264
0.411258,0.499875,0.205023
0.381431,0.492418,0.237514
0.310058,0.481766,0.355225
0.4299,0.662328,0.429261
0.325504,0.499342,0.241775
0.289818,0.280963,0.216209
0.706336,0.0476707,-0.0991095
0.713793,-0.201068,-0.348381
0.406997,-0.111054,-0.267954
0.290351,-0.317182,-0.0415852
0.229098,-0.333161,-0.0421179
0.110854,-0.260723,-0.0772716
0.0783631,-0.0354198,-0.203505
0.0384157,-0.0700409,-0.0330631
-0.0100538,-0.00559247,0.00262321
0.00592519,0.0071907,0.00688427
0.00539256,0.00932122,0.00794953
0.00539256,0.00292964,0.00155795
0.00965362,0.00985385,0.00848216
0.00965362,0.00932122,0.00102532
0.0213715,-0.0183756,-0.00856206
0.0320242,-0.00346194,-0.0234757
0.163584,0.0860202,0.0612127
0.043742,-0.0647146,-0.0474442
6.62454e-05,0.00665806,0.00155795
6.62454e-05,0.00452754,0.00209058
0.00379467,-0.0061251,-0.004301
0.00699046,-0.0061251,-0.00323574
0.0027294,0.00506017,0.00635163
-0.000999018,-0.00665773,-3.99478e-05
0.00166414,0.00186438,0.00422111
0.00326204,0.00186438,-0.00110521
0.000598877,0.000266482,0.00102532
-0.00259691,0.00292964,0.000492684
-0.000999018,-0.00292931,-3.99478e-05
-0.00153165,0.00239701,0.000492684
0.00113151,0.00239701,-0.00217047
0.00166414,-0.00186404,-0.00110521
-0.00259691,0.00292964,-0.00057258
-0.00206428,-0.00292931,0.00209058
-0.000999018,-0.00186404,-0.00323574
-0.00419481,0.000799114,0.00262321
0.00219677,-0.000798781,-0.00323574
-0.00153165,0.00239701,-3.99478e-05
0.00219677,-0.00239668,-0.00110521
6.62454e-05,0.000799114,-0.00643153
6.62454e-05,-0.00239668,0.00102532
-0.0073906,-0.00292931,-0.00110521
0.00219677,-0.000798781,-3.99478e-05
6.62454e-05,-0.00665773,0.00102532
-0.00153165,0.000799114,0.00209058
6.62454e-05,-0.00186404,-0.00110521
0.00219677,0.00133175,-0.00110521
6.62454e-05,0.000799114,-0.00163784
-0.00153165,-0.00133141,-0.00110521
0.00166414,-0.00559247,0.00155795
0.00166414,0.00239701,-0.00057258
-0.000999018,-0.00186404,-0.004301
-0.000999018,-0.00346194,-3.99478e-05
-0.0105864,0.00239701,-0.00110521
0.0043273,0.00186438,-3.99478e-05
6.62454e-05,-0.00239668,-0.00643153
-0.000999018,-0.00346194,-0.00483363
0.00219677,-0.00239668,-0.00110521
-0.00153165,-0.00346194,-0.00270311
-0.000999018,-0.000266149,0.00155795
0.00113151,-0.00186404,-0.00696416
-0.00312955,-0.00133141,-0.00163784
-0.000466386,-0.00186404,-0.00110521
0.00379467,-0.0045272,0.00102532
-0.000999018,-0.00346194,0.000492684
-0.00685797,-0.00186404,-0.00057258
-0.00259691,-0.00186404,0.00155795
6.62454e-05,0.000266482,-0.00270311
0.00113151,0.000266482,-0.00217047
-0.000999018,-0.000266149,-0.00057258
0.00326204,-0.00186404,-0.00110521
6.62454e-05,-0.00133141,-0.00323574
-0.00312955,-0.00346194,-0.00110521
0.00485993,0.000799114,-0.00270311
0.00113151,0.000266482,-0.00163784
-0.000999018,-0.000266149,-0.00110521
-0.000466386,-0.00399457,-3.99478e-05
-0.00419481,-0.000798781,0.000492684
-0.0073906,0.00133175,0.000492684
6.62454e-05,0.00292964,0.00102532
0.00219677,-0.00559247,0.00315584
-0.00206428,-0.00239668,-0.004301
-0.000466386,-0.00292931,-0.00217047
-0.000999018,0.000799114,-0.00110521
-0.00472744,-0.00239668,0.00262321
6.62454e-05,0.000266482,-0.00163784
-0.00366218,0.000266482,0.000492684
-0.00312955,0.00239701,0.00155795
0.00326204,-0.00133141,0.00315584
-0.00206428,-0.000798781,-3.99478e-05
